Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
FWC - Walton,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Walton Co,0,0,0,0,0,2,0,0,0,0,2,,,
Washington  ,"24,985",0,0,0,0,16,0,104,1,0,121,,,
Washington County Sheriff's Office,"21,519",0,0,0,0,12,0,84,1,0,97,,,
Chipley Police Department,"3,466",0,0,0,0,4,0,20,0,0,24,,,
Washington DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Washington,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Washington Co,0,0,0,0,0,0,0,0,0,0,0,,,
Florida,"20,484,142",162,18,"1,580",762,"16,657",189,"85,721","1,521",369,"106,979",,,

