Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
Windermere Police Department,"2,887",0,0,0,0,0,0,1,0,0,1,,,
Edgewood Police Department,"2,643",0,0,0,0,3,0,11,0,0,14,,,
FDLE - Orlando RA,0,0,0,0,0,0,0,0,0,0,0,,,
University of Central Florida Police Dept.,0,0,0,0,0,0,0,5,0,0,5,,,
Orange DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DIFS - Orange,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Orange,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Orlando,0,0,0,0,0,5,0,4,0,0,9,,,
Belle Isle Police Department,"6,701",0,0,3,0,0,1,21,0,0,25,,,
Osceola  ,"337,614",2,2,43,22,266,11,"1,569",11,15,"1,941",,,
Osceola County Sheriff's Office,"222,558",1,1,33,18,219,8,"1,109",8,12,"1,409",,,
St. Cloud Police Department,"45,094",1,0,7,4,16,3,231,1,2,265,,,
Kissimmee Police Department,"69,962",0,1,3,0,26,0,223,2,1,256,,,
Osceola DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Osceola,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Kissimmee,0,0,0,0,0,5,0,6,0,0,11,,,
Palm Beach  ,"1,414,144",5,1,90,33,935,2,"3,628",59,39,"4,792",,,
Palm Beach County Sheriff's Office,"624,881",3,0,50,24,346,0,"1,335",7,24,"1,789",,,
Belle Glade Police Department,"17,290",0,0,4,1,28,0,76,1,0,110,,,
Boca Raton Police Department,"91,797",0,0,0,1,22,0,149,1,1,174,,,
Boynton Beach Police Department,"73,992",1,0,1,0,78,1,359,0,0,440,,,
Delray Beach Police Department,"65,804",0,0,2,3,39,0,239,25,2,310,,,
Lake Worth Police Department,"37,946",0,0,10,0,65,0,243,1,0,319,,,
Palm Beach Police Department,"8,291",0,0,0,0,0,0,6,0,0,6,,,
Riviera Beach Police Department,"35,057",1,0,2,2,91,1,219,20,3,339,,,
West Palm Beach Police Department,"110,396",0,1,2,1,75,0,365,1,1,446,,,
Atlantis Police Department,"2,024",0,0,0,0,0,0,0,0,0,0,,,
Greenacres Department of Public Safety,"39,770",0,0,3,0,28,0,55,0,0,86,,,
Gulf Stream Police Department,"1,001",0,0,0,0,0,0,1,0,0,1,,,
Town of Hypoluxo Police Department,"2,725",0,0,0,0,1,0,5,0,0,6,,,
Juno Beach Police Department,"3,400",0,0,0,0,3,0,9,0,0,12,,,
Jupiter Police Department,"61,388",0,0,1,0,10,0,84,0,1,96,,,
Jupiter Inlet Colony Police Department,407,0,0,0,0,0,0,0,0,0,0,,,
Lake Park Police Department,"8,784",0,0,2,0,12,0,28,1,0,43,,,
Lantana Police Department,"10,797",0,0,0,0,5,0,19,0,0,24,,,
Manalapan Police Department,421,0,0,0,0,2,0,0,0,0,2,,,
Mangonia Park Police Department,"2,033",0,0,0,0,10,0,19,0,0,29,,,
North Palm Beach Police Department,"12,574",0,0,0,0,1,0,7,0,0,8,,,
Ocean Ridge Police Department,"1,812",0,0,1,0,0,0,4,0,0,5,,,
Pahokee Police Department,"5,889",0,0,1,0,15,0,21,0,0,37,,,
Palm Beach Gardens Police Department,"52,591",0,0,1,0,6,0,85,1,0,93,,,
Palm Springs Police Department,"23,250",0,0,2,0,28,0,81,0,0,111,,,
Royal Palm Beach Police Department,"37,485",0,0,3,0,17,0,90,0,4,114,,,
South Bay Police Department,"5,215",0,0,2,0,2,0,20,1,0,25,,,
South Palm Beach Police Department,"1,400",0,0,0,0,0,0,0,0,0,0,,,
Tequesta Police Department,"5,731",0,0,0,0,0,0,4,0,0,4,,,
Palm Beach Shores Public Police Department,"1,200",0,0,0,0,4,0,6,0,0,10,,,
Florida Atlantic University Police Department,0,0,0,0,0,0,0,0,0,0,0,,,
Highland Beach Police Department,"3,609",0,0,0,0,1,0,3,0,0,4,,,
Palm Beach County School District Police Dept.,0,0,0,0,0,0,0,2,0,0,2,,,
Lake Clarke Shores Police Department,"3,409",0,0,0,0,3,0,8,0,0,11,,,
Palm Beach DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DIFS - Palm Beach,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Palm Beach,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Palm Beach Turnpike Station,0,0,0,0,0,11,0,5,0,0,16,,,
Wellington Police Department,"61,775",0,0,3,1,32,0,81,0,3,120,,,
Pasco  ,"505,709",1,0,76,25,369,2,"3,678",11,27,"4,189",,,
Pasco County Sheriff's Office,"464,442",1,0,72,24,310,0,"3,341",11,21,"3,780",,,
Dade City Police Department,"7,233",0,0,2,1,9,0,41,0,1,54,,,
New Port Richey Police Department,"15,764",0,0,1,0,30,2,146,0,0,179,,,
Zephyrhills Police Department,"15,571",0,0,0,0,14,0,118,0,5,137,,,
Port Richey Police Department,"2,699",0,0,1,0,2,0,28,0,0,31,,,
Pasco DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Pasco,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Pasco Co,0,0,0,0,0,4,0,4,0,0,8,,,
Pinellas  ,"962,003",5,3,74,24,687,12,"5,325",81,17,"6,228",,,
Pinellas County Sheriff's Office,"278,829",1,0,8,2,157,0,"1,271",48,4,"1,491",,,
Belleair Police Department,"3,924",0,0,1,0,0,0,2,0,0,3,,,
Belleair Bluffs Police Department,"2,071",0,0,0,0,0,0,3,0,0,3,,,
Clearwater Police Department,"113,723",0,0,12,6,117,0,627,2,0,764,,,
Dunedin Police Department,"36,265",0,0,0,0,2,0,93,6,2,103,,,
Gulfport Police Department,"12,400",0,0,1,0,8,0,44,0,0,53,,,
Indian Rocks Beach PD,"4,380",0,0,0,0,0,0,29,0,0,29,,,
Kenneth City Police Department,"5,082",0,0,1,0,1,0,20,0,0,22,,,
Largo Police Department,"81,966",0,2,15,2,26,0,356,2,1,404,,,
Madeira Beach Police Department,"4,368",0,1,0,0,3,0,24,3,1,32,,,
City of Seminole,"18,450",0,0,0,0,9,0,76,6,0,91,,,
Oldsmar Police Department,"14,321",0,0,0,0,1,0,60,2,0,63,,,
Pinellas Park Police Department,"52,713",1,0,5,1,45,3,552,1,0,608,,,
Redington Beaches Police Department,"1,463",0,0,0,0,0,0,3,0,0,3,,,
Safety Harbor Police Department,"17,343",0,0,0,0,2,0,45,3,0,50,,,
St. Petersburg Police Department,"263,768",3,0,30,13,300,8,"1,869",3,7,"2,233",,,
St. Pete Beach Police Department,"9,488",0,0,1,0,3,0,57,0,0,61,,,
South Pasadena Police Department,"5,074",0,0,0,0,0,0,17,0,0,17,,,
Indian Shores Police Department,"1,452",0,0,0,0,0,0,7,0,0,7,,,
Tarpon Springs Police Department,"25,093",0,0,0,0,10,1,109,4,1,125,,,
Treasure Island Police Department,"6,819",0,0,0,0,2,0,47,1,1,51,,,
Belleair Beach Police Department,"1,559",0,0,0,0,1,0,3,0,0,4,,,
Pinellas DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
North Redington Beach PD,"1,452",0,0,0,0,0,0,3,0,0,3,,,
St. Petersburg - Clearwater Airport PD,0,0,0,0,0,0,0,0,0,0,0,,,
University of South Florida PD- St. Pete Campus,0,0,0,0,0,0,0,0,0,0,0,,,
DIFS - Pinellas,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Pinellas,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Pinellas Park,0,0,0,0,0,0,0,8,0,0,8,,,
Polk  ,"661,645",2,1,55,23,620,2,"4,080",27,12,"4,822",,,
Polk County Sheriff's Office,"429,844",2,1,33,16,424,0,"2,644",22,9,"3,151",,,
Auburndale Police Department,"15,999",0,0,1,0,13,0,84,0,0,98,,,
Bartow Police Department,"19,088",0,0,2,0,29,0,172,0,3,206,,,
Davenport Police Department,"4,946",0,0,0,0,3,0,28,0,0,31,,,
Florida Polytechnic University Police Dept.,0,0,0,0,0,0,0,2,0,0,2,,,
Haines City Police Department,"23,847",0,0,0,3,5,0,124,0,0,132,,,
Lake Alfred Police Department,"5,903",0,0,0,0,0,0,20,0,0,20,,,
Lake Hamilton Police Department,"1,334",0,0,0,0,5,0,9,0,0,14,,,
Lakeland Police Department,"104,185",0,0,10,0,71,2,628,0,0,711,,,
Lake Wales Police Department,"15,365",0,0,1,4,17,0,116,0,0,138,,,
Winter Haven Police Department,"41,134",0,0,8,0,50,0,244,5,0,307,,,
Polk DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Polk,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Lakeland,0,0,0,0,0,3,0,9,0,0,12,,,
Putnam  ,"73,176",1,0,2,2,65,0,422,4,2,498,,,
Putnam County Sheriff's Office,"58,898",1,0,1,2,58,0,347,4,1,414,,,
Palatka Police Department,"10,662",0,0,1,0,4,0,63,0,0,68,,,
Crescent City Police Department,"1,555",0,0,0,0,2,0,10,0,0,12,,,
Welaka Police Department,717,0,0,0,0,1,0,2,0,1,4,,,
Putnam DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Putnam,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Palatka,0,0,0,0,0,0,0,0,0,0,0,,,
St. Johns  ,"229,715",1,0,11,1,105,0,629,9,1,757,,,
St. Johns County Sheriff's Office,"209,220",1,0,9,1,89,0,519,1,1,621,,,
St. Augustine Police Department,"13,862",0,0,2,0,14,0,93,7,0,116,,,
St. Augustine Beach Police Department,"6,633",0,0,0,0,2,0,16,1,0,19,,,
Florida School for the Deaf and Blind,0,0,0,0,0,0,0,1,0,0,1,,,
St. Johns DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - St. Johns,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - St. Augustine,0,0,0,0,0,0,0,0,0,0,0,,,
St. Lucie  ,"297,634",2,0,17,3,146,2,"1,175",3,0,"1,348",,,
St. Lucie County Sheriff's Office,"72,941",0,0,10,0,41,0,369,3,0,423,,,
Fort Pierce Police Department,"43,409",1,0,5,2,49,2,333,0,0,392,,,
Port St. Lucie Police Department,"181,284",1,0,2,1,56,0,473,0,0,533,,,
St. Lucie DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - St. Lucie,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Fort Pierce,0,0,0,0,0,0,0,0,0,0,0,,,
Santa Rosa  ,"170,835",2,0,5,4,83,0,616,22,0,732,,,
Santa Rosa County Sheriff's Office,"154,867",2,0,5,4,81,0,580,20,0,692,,,
Milton Police Department,"10,130",0,0,0,0,2,0,32,2,0,36,,,
Gulf Breeze Police Department,"5,838",0,0,0,0,0,0,4,0,0,4,,,
Santa Rosa DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Santa Rosa,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Santa Rosa Co,0,0,0,0,0,0,0,0,0,0,0,,,
Sarasota  ,"402,737",4,1,14,6,200,2,"1,172",15,7,"1,421",,,
Sarasota County Sheriff's Office,"258,594",4,0,6,5,124,0,672,3,0,814,,,
Sarasota Police Department,"54,641",0,1,6,1,49,0,335,6,7,405,,,
Venice Police Department,"22,306",0,0,0,0,4,0,42,0,0,46,,,
North Port Police Department,"67,196",0,0,2,0,15,2,123,6,0,148,,,
Sarasota Manatee Airport Authority PD,0,0,0,0,0,0,0,0,0,0,0,,,
New College of Florida,0,0,0,0,0,0,0,0,0,0,0,,,
Sarasota DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Sarasota,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Venice,0,0,0,0,0,8,0,0,0,0,8,,,
Seminole  ,"454,757",1,1,21,1,353,15,"2,063",21,25,"2,501",,,
Seminole County Sheriff's Office,"217,839",0,0,7,1,140,12,611,5,11,787,,,
Altamonte Springs Police Department,"44,482",0,0,4,0,48,0,282,0,4,338,,,
Casselberry Police Department,"28,548",0,0,2,0,37,0,220,6,4,269,,,
City of Longwood Police Department,"15,156",0,0,0,0,11,0,63,1,0,75,,,
Oviedo Police Department,"37,701",1,0,2,0,18,1,118,0,2,142,,,
Sanford Police Department,"57,839",0,0,6,0,80,2,619,3,4,714,,,
Winter Springs Police Department,"36,654",0,1,0,0,10,0,101,0,0,112,,,
Lake Mary Police Department,"16,538",0,0,0,0,9,0,49,6,0,64,,,
Seminole DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Seminole,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Seminole Co,0,0,0,0,0,0,0,0,0,0,0,,,
Sumter  ,"120,700",0,0,2,1,76,1,289,4,3,376,,,
Sumter County Sheriff's Office,"111,174",0,0,2,1,64,1,263,3,2,336,,,
Center Hill Police Department,"1,072",0,0,0,0,0,0,1,0,0,1,,,
Wildwood Police Department,"8,454",0,0,0,0,10,0,24,1,1,36,,,
Sumter DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Sumter,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Sumter Co,0,0,0,0,0,2,0,1,0,0,3,,,
Suwannee  ,"44,690",0,0,4,0,50,0,174,0,0,228,,,
Suwannee County Sheriff's Office,"37,830",0,0,4,0,41,0,103,0,0,148,,,
Live Oak Police Department,"6,860",0,0,0,0,9,0,71,0,0,80,,,
Suwannee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Suwannee,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Suwannee Co,0,0,0,0,0,0,0,0,0,0,0,,,
Taylor  ,"22,295",0,0,4,1,129,0,123,7,0,264,,,
Taylor County Sheriff's Office,"15,341",0,0,2,0,114,0,36,3,0,155,,,
Perry Police Department,"6,954",0,0,2,1,15,0,86,4,0,108,,,
Taylor DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Taylor,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Perry,0,0,0,0,0,0,0,1,0,0,1,,,
Union  ,"15,947",1,0,0,0,17,0,36,0,0,54,,,
Union County Sheriff's Office,"15,947",1,0,0,0,17,0,36,0,0,54,,,
Union DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
FWC - Union,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Union Co,0,0,0,0,0,0,0,0,0,0,0,,,
Volusia  ,"523,345",4,0,30,23,659,8,"3,512",38,11,"4,285",,,
Volusia County Sheriff's Office,"230,862",2,0,17,19,177,0,"1,209",27,0,"1,451",,,
Daytona Beach Police Department,"65,569",0,0,6,1,219,0,"1,172",5,5,"1,408",,,
Deland Police Department,"32,775",0,0,0,0,83,1,237,0,1,322,,,
New Smyrna Beach Police Department,"25,803",0,0,1,0,47,0,189,0,1,238,,,
Ormond Beach Police Department,"40,722",0,0,1,2,75,6,199,5,3,291,,,
Daytona Beach Shores Dept. of Public Safety,"4,288",0,0,0,0,5,0,56,0,0,61,,,
Edgewater Police Department,"21,509",0,0,0,0,1,0,4,0,1,6,,,
Holly Hill Police Department,"11,890",0,0,4,1,7,1,138,0,0,151,,,
