Date,Número de pasajeros que salen de PR,Número de pasajeros que llegan a PR,Movimiento neto de pasajeros,Movimiento neto de pasajero últimos 12 meses,Número de pasajeros que salen de SJU,Número de pasajeros que salen de BQN,Número de pasajeros que salen de PSE,Número de pasajeros que salen de MAZ,Número de pasajeros que salen de HUC,Número de pasajeros que salen de ARE,Número de pasajeros que salen de VQS,Número de pasajeros que salen de SIG,Número de pasajeros que salen de NRR,Número de pasajeros que llegan a SJU,Número de pasajeros que llegan a BQN,Número de pasajeros que llegan a PSE,Número de pasajeros que llegan a MAZ,Número de pasajeros que llegan a CPX_D,Número de pasajeros que llegan a HUC,Número de pasajeros que llegan a ARE,Número de pasajeros que llegan a VQS,	Número de pasajeros que llegan a SIG,Número de pasajeros que llegan a NRR_D,DF_D,AF_D,DF_SJU_D,DF_BQN_D,DF_PSE_D,DF_MAZ_D,DF_CPX_D,DF_HUC_D,DF_ARE_D,DF_VQS_D,DF_SIG_D,DF_NRR_D,AF_SJU_D,AF_BQN_D,AF_PSE_D,AF_MAZ_D,AF_CPX_D,AF_HUC_D,AF_ARE_D,AF_VQS_D,AF_SIG_D,AF_NRR_D,Vuelos que despegan de PR,Vuelos que aterrizan en PR,Vuelos que despegan de SJU,Vuelos que despegan de BQN,Vuelos que despegan de PSE,Vuelos que despegan de MAZ,Vuelos que despegan de CPX,Vuelos que despegan de HUC,Vuelos que despegan de ARE,Vuelos que despegan de VQS,Vuelos que despegan de SIG,Vuelos que despegan de NRR,Vuelos que aterrizan en SJU,Vuelos que aterrizan en BQN,Vuelos que aterrizan en PSE,Vuelos que aterrizan en MAZ,Vuelos que aterrizan en Cpx,Vuelos que aterrizan en HUC,Vuelos que aterrizan en ARE,Vuelos que aterrizan en VQS,Vuelos que aterrizan en SIG,Vuelos que aterrizan en NRR,Vuelos que aterrizan en AA,Vuelos que aterrizan en Jetblue Airways,Pasajeros que salen de PR por medio de Continental Air Lines Inc.,Pasajeros que salen de PR por medio de US Airways Inc.,Pasajeros que salen de PR por medio de Spirit Air Lines,Pasajeros que llegan a PR por medio de American Airlines Inc.,Pasajeros que llegan a PR por medio de JetBlue Airways,Pasajeros que llegan a PR por medio de Continental Airlines Inc.,Pasajeros que llegan a PR por medio de US Airways Inc.,Pasajeros que llegan a PR por medio de Spirit Airlines,DF_FX_D,DF_5X_D,DF_WI_D,DF_ABX_D,DF_JW_D,DF_AA_D,AF_FX_D,AF_5X_D,AF_WI_D,AF_ABX_D,AF_JW_D,AF_AA_D,Vuelos que despegan de Cape Air,Vuelos que despegan de Jetblue Airways,Vuelos que despegan de American Airlines Inc,Vuelos que despegan de Vieques Air Link Inc,Vuelos que despegan de Executive Airlines,Vuelos que aterrizan de Cape Air,Vuelos que aterrizan de Jetblue Airways,Vuelos que aterrizan de American Airlines Inc,Vuelos que aterrizan de Vieques Air Link Inc,Vuelos que aterrizan de Executive Airlines
2004-06,418536,429177,-10641,20697,401309,12904,285,1737,0,0,0,921,1224,0,412294,12926,223,1464,0,0,0,773,1360,0,21939786,30124062,13726199,8188418,0,0,0,0,0,0,25169,0,21589280,8509206,0,0,0,0,0,0,25576,0,4794,4768,3992,213,122,57,0,0,0,198,158,0,3994,213,122,57,0,0,0,159,169,0,219243,22758,30904,26602,10389,222999,23391,32197,28397,11037,5854651,2474986,8225643,48500,0,2411960,7979325,3923234,8023408,131907,0,2411960,580,193,1311,316,89,580,194,1310,303,593
2004-05,372623,347928,24695,26734,359931,8397,329,1692,0,0,0,754,1325,0,337008,6933,267,1447,0,0,0,676,1399,0,20959459,28099678,13048742,7892397,0,1251,0,0,0,0,17069,0,19529420,8545809,0,0,0,0,0,0,24449,0,4747,4722,4001,168,127,58,0,0,0,150,186,0,3977,165,127,56,0,0,0,151,189,0,206833,16063,28446,24972,9785,192072,15101,26260,22297,8887,5938132,2343923,7799769,102157,0,2673527,8014647,3630575,8198479,234975,0,2673527,687,142,1320,270,81,687,142,1319,272,631
2004-04,409765,400112,9653,23081,396955,6969,327,1749,0,0,0,1966,1588,0,388487,6276,267,1561,0,0,0,1329,2047,0,21377697,28235879,13389631,7965756,0,0,0,0,0,0,22310,0,19897982,8306411,0,0,0,0,0,3150,28336,0,5172,5170,4264,166,126,58,0,0,0,293,205,0,4278,168,126,59,0,0,0,230,249,0,223599,15776,29847,30394,9064,219013,15772,29275,28244,8978,5931986,2418027,7816488,63215,0,2827979,7919417,3829050,7702310,395214,0,2827979,809,120,1356,467,93,809,120,1357,489,634
2004-03,398175,384923,13252,24168,385994,6303,344,1824,0,0,0,2041,1520,0,373900,5558,281,1452,0,0,0,1397,2183,0,23041473,30339391,14200606,8832118,0,0,0,0,0,0,8749,0,20998270,9316284,0,0,0,0,0,0,24837,0,5296,5264,4403,169,126,61,0,0,0,285,196,0,4353,169,129,60,0,0,0,234,263,0,223160,15820,26477,28670,8371,213240,15216,25638,27489,8596,6346982,2693861,8636843,65390,0,2445877,8603033,4185122,8731676,377353,0,2445877,924,123,1431,467,92,924,124,1432,476,586
2004-02,354659,355781,-1122,25909,343659,5324,345,1617,0,0,0,2267,1309,0,345344,5488,249,1438,0,0,0,1220,1922,0,21611000,29084058,13757737,7835716,0,0,0,0,0,0,17547,0,20526076,8533287,0,0,0,0,0,0,24695,0,5055,4949,4179,150,120,56,0,0,0,339,168,0,4139,149,124,56,0,0,0,203,235,0,194709,14642,23994,26400,7448,193936,15585,24570,27040,6986,5876677,2420960,7731452,65306,0,2347530,8137982,3689022,8159447,323744,0,2347530,850,119,1339,504,87,850,119,1343,431,603
2004-01,408684,389039,19645,21834,396317,6600,301,1758,0,0,0,2030,1502,0,377010,6356,256,1644,0,0,0,1399,2215,0,20549032,25787760,12679443,7840278,0,0,0,0,0,0,29311,0,18236455,7523116,0,0,0,0,0,0,28189,0,5281,5262,4404,154,131,58,0,0,0,295,183,0,4371,153,131,58,0,0,0,229,264,0,220380,19056,27435,30025,10716,207389,17484,27522,27250,10584,5435128,2243328,7539506,58046,0,2330773,7683567,3325886,7140936,365224,0,2330773,878,139,1407,468,102,878,137,1412,478,652
2003-12,365481,415598,-50117,25959,356337,5123,304,1706,0,0,0,1296,524,0,404853,6675,257,1743,0,0,0,1390,460,0,24427100,29257968,14474255,9941221,0,0,0,0,0,0,0,11624,20642904,8454588,0,0,0,0,0,0,0,11624,4928,4852,4209,168,127,60,0,0,0,214,89,3,4140,166,127,60,0,0,0,227,71,3,198596,14979,24994,24917,11680,225276,19863,28178,30737,12606,6453298,1287726,9660247,83321,0,2185149,9067625,2498609,7721159,532458,0,2185149,832,133,1376,387,94,832,135,1375,363,636
2003-11,303248,304624,-1376,33916,296178,3730,233,1766,0,0,0,811,363,0,297490,4016,207,1422,0,0,0,1027,315,0,21097685,29552603,12728276,8364526,0,0,0,0,0,0,0,4883,19894972,9539307,0,0,0,0,0,0,0,4883,4163,4149,3563,145,111,59,0,0,0,151,74,2,3520,146,111,59,0,0,0,195,58,2,171982,11674,19764,24030,9150,171664,12107,21215,24991,9113,5789474,2143383,7923401,57232,0,2056214,8350513,3705118,8515484,482392,0,2056214,670,89,1240,302,77,670,89,1242,314,615
2003-10,248619,253405,-4786,27176,242165,3513,201,1387,0,0,0,812,387,0,246804,3657,161,1236,0,0,0,975,429,0,23198254,31286629,13979448,9214956,0,0,0,0,0,0,0,3850,21538335,9644272,0,0,0,0,0,0,0,3850,3808,3769,3179,165,106,61,0,0,0,160,82,2,3128,155,106,61,0,0,0,191,73,2,143731,10533,15921,15392,8008,146901,11326,17012,16394,7900,6053408,2620007,8662288,70380,0,2085643,8852432,4123437,8984536,522374,0,2085643,579,93,1121,313,62,580,93,1124,318,552
2003-09,223192,207300,15892,29795,215899,4747,198,1382,0,0,0,538,294,0,201324,3617,143,1280,0,0,0,371,427,0,21643223,27126583,12744984,8898239,0,0,0,0,0,0,0,0,19036789,8089794,0,0,0,0,0,0,0,0,3521,3501,3027,140,77,60,0,0,0,101,72,0,3005,141,77,60,0,0,0,92,82,0,124896,12892,14743,14304,8210,116078,10206,13208,13212,8065,5916192,2299936,8409151,71362,0,1993288,7502101,3703298,7761802,351492,0,1993288,484,101,1100,173,62,484,100,1100,174,651
2003-08,363492,341658,21834,27909,352934,7223,232,1804,0,0,0,685,430,0,331686,6983,177,1494,0,0,0,725,408,0,21959828,26912623,13526767,8433061,0,0,0,0,0,0,0,0,18983942,7928681,0,0,0,0,0,0,0,0,4396,4373,3814,155,87,59,0,0,0,139,86,0,3787,155,87,59,0,0,0,153,76,0,196790,26646,27330,27001,11647,181616,24565,25183,24781,11613,6004030,2236538,8271960,59335,0,1969132,7517867,3522337,7851839,390388,0,1969132,566,185,1421,261,106,569,185,1420,263,664
2003-07,400266,416498,-16232,27370,388047,8021,256,2006,0,0,0,1173,479,0,403746,8732,215,1855,0,0,0,1244,491,0,19880317,27731327,12309219,7571098,0,0,0,0,0,0,0,0,19360778,8370549,0,0,0,0,0,0,0,0,4536,4557,3905,151,84,55,0,0,0,188,85,0,3897,152,84,54,0,0,0,222,80,0,211498,24697,27358,26415,14804,217437,29099,28593,28130,15071,5478868,2016683,7248346,79568,0,2127325,7591776,3674826,8050340,411991,0,2127325,573,185,1430,352,112,575,186,1429,368,627
2003-06,347075,351679,-4604,37193,335141,8463,271,1716,0,0,0,900,401,0,340001,8142,214,1657,0,0,0,1021,434,0,19969109,26914430,12156730,7812379,0,0,0,0,0,0,0,0,18639779,8274651,0,0,0,0,0,0,0,0,4066,4054,3457,149,92,58,0,0,0,160,85,0,3418,150,92,59,0,0,0,198,72,0,187291,17220,26510,26693,9877,191093,17936,26299,27310,10401,5482428,1859520,7538618,54431,0,2041219,7402797,3520645,7885366,354078,0,2041219,568,139,1169,316,71,568,139,1169,324,653
2003-05,316805,295763,21042,34919,308278,4849,262,1776,0,0,0,1002,436,0,288253,4051,248,1517,0,0,0,1054,416,0,22115024,28234482,13851042,8263982,0,0,0,0,0,0,0,0,19706410,8528072,0,0,0,0,0,0,0,0,4101,4079,3468,132,124,62,0,0,0,166,87,0,3411,143,124,62,0,0,0,209,68,0,183821,13390,23470,25186,7978,170528,12726,22219,23855,7251,5909885,2106389,8049609,69801,0,2461935,7679738,3561686,8448319,398444,0,2461935,663,103,1186,333,63,663,103,1187,339,672
2003-04,317849,307109,10740,30032,310757,3994,239,1360,0,0,0,977,326,0,300763,3492,224,1106,0,0,0,907,430,0,21155685,28409391,13332017,7823668,0,0,0,0,0,0,0,0,19639130,8770261,0,0,0,0,0,0,0,0,4422,4398,3826,127,120,50,0,0,0,167,76,0,3790,127,120,50,0,0,0,182,73,0,180051,11590,23275,24439,9430,175159,11844,22798,23226,8917,5728422,2078841,7324241,55362,0,2456484,7663044,3615620,8454454,385949,0,2456484,882,89,1281,309,90,882,89,1281,316,604
2003-03,354595,339602,14993,33681,346815,4141,259,1626,0,0,0,1203,414,0,332580,3646,196,1362,0,0,0,1146,543,0,22547993,28067577,14195881,8335930,0,0,0,0,0,0,0,16182,18761547,9306030,0,0,0,0,0,0,0,16182,4813,4778,4173,137,112,58,0,0,0,199,86,1,4129,137,112,59,0,0,0,211,83,0,201262,12105,26223,25994,8206,190782,11399,25022,25325,8291,6128324,2174281,8352852,60337,0,2540720,7810658,3737356,9253647,387665,0,2540720,955,93,1416,372,93,956,93,1415,376,666
2003-02,293655,298852,-5197,24001,286687,3328,315,1541,0,0,0,1118,379,112,292019,3389,270,1359,0,0,0,1099,454,112,20876411,25748131,13268862,7607549,0,0,0,0,0,0,0,0,17462072,8286059,0,0,0,0,0,0,0,0,4425,4356,3809,118,121,52,0,0,0,197,80,1,3741,119,121,52,0,0,0,201,74,1,161999,10313,21850,20243,8727,167462,10875,23215,20804,8212,5235361,2242505,7583375,59802,524914,2020808,7122674,3328805,8143376,345448,911760,2020808,894,81,1271,355,84,894,81,1273,354,622
2003-01,364467,340697,23770,21792,355928,4741,282,1700,0,0,0,1224,388,0,333483,3630,242,1625,0,0,0,1057,472,0,19025095,27645737,12250684,6774411,0,0,0,0,0,0,0,0,19103011,8542726,0,0,0,0,0,0,0,0,4940,4874,4276,126,131,61,0,0,0,209,80,0,4224,126,131,61,0,0,0,199,76,0,202772,12750,26577,25649,11875,189969,12252,24542,23508,11571,5157835,1879177,6749498,58794,0,2037119,7651640,3602972,8409068,384695,0,2037119,971,93,1464,365,102,971,93,1462,357,689
2002-12,346137,388297,-42160,32038,339542,3373,285,1430,0,0,0,1082,425,0,380394,4580,288,1477,0,0,0,1157,401,0,21531205,31126472,14205109,7326096,0,0,0,0,0,0,0,0,21923920,9202552,0,0,0,0,0,0,0,0,4735,4730,4131,130,132,57,0,0,0,198,87,0,4097,147,132,57,0,0,0,217,80,0,192693,10515,22863,21284,12567,216287,12506,27107,25370,13785,6354146,1544394,8087199,67577,800039,1804133,7833167,2973546,9958046,362453,1519337,1804133,876,81,1396,361,102,876,83,1397,369,675
2002-11,278635,286751,-8116,24467,273561,2204,282,1304,0,0,0,886,398,0,281524,2373,285,1245,0,0,0,915,409,0,20694668,30895139,12898192,7796476,0,0,0,0,0,0,0,0,21258744,9636395,0,0,0,0,0,0,0,0,4114,4074,3556,121,127,57,0,0,0,171,82,0,3509,123,127,57,0,0,0,183,75,0,164770,7963,18944,16531,9093,169840,8284,20326,18235,9040,5756033,2084794,8980771,77969,0,1508163,8712683,3714599,10423771,391830,0,1508163,715,61,1229,317,90,715,60,1231,320,618
2002-10,233218,235385,-2167,23376,228201,2193,247,1442,0,0,0,754,381,0,230466,2273,226,1267,0,0,0,676,477,0,24154267,32533411,14963950,9190317,0,0,0,0,0,0,0,0,22669395,9864016,0,0,0,0,0,0,0,0,3972,3929,3424,132,120,62,0,0,0,150,84,0,3377,132,120,62,0,0,0,151,87,0,142369,7855,15847,13413,5913,143697,8194,17161,13808,5981,6365093,2604950,10391294,84068,724062,1492245,8762453,4082935,10893682,486405,1037457,1492245,619,93,1174,270,92,618,93,1172,272,632
2002-09,208169,194163,14006,18425,203523,3343,0,1303,0,0,0,0,0,0,190662,2382,0,1119,0,0,0,0,0,0,7108006,10613923,7107694,312,0,0,0,0,0,0,0,0,10613664,259,0,0,0,0,0,0,0,0,2693,2677,2603,29,0,61,0,0,0,0,0,0,2589,28,0,60,0,0,0,0,0,0,125525,10128,13551,11626,6297,118234,8011,12109,10830,5770,0,2217503,0,0,819704,1895433,0,3553687,0,0,959894,1895433,0,90,1177,0,90,0,90,1179,0,589
2002-08,334512,313217,21295,25198,327980,4876,0,1656,0,0,0,0,0,0,306957,4725,0,1535,0,0,0,0,0,0,8457565,11882552,8457235,330,0,0,0,0,0,0,0,0,11881656,896,0,0,0,0,0,0,0,0,3236,3212,3138,36,0,62,0,0,0,0,0,0,3113,37,0,62,0,0,0,0,0,0,191931,13584,24018,22255,11198,177626,13230,22862,19886,10487,0,2648742,0,0,1158022,2290357,0,3723814,0,0,1169920,2290357,0,93,1553,0,93,0,93,1552,0,565
2002-07,378940,385349,-6409,26752,372641,4281,0,2018,0,0,0,0,0,0,378374,4933,0,2042,0,0,0,0,0,0,7595938,11803840,7580833,15105,0,0,0,0,0,0,0,0,11803257,583,0,0,0,0,0,0,0,0,3270,3251,3168,41,0,61,0,0,0,0,0,0,3151,39,0,61,0,0,0,0,0,0,210467,13310,23722,26417,14330,210898,14836,25291,27328,14550,0,2141489,0,0,906270,2388860,0,3712111,0,0,1130972,2388860,0,93,1562,0,93,0,93,1565,0,568
2002-06,344855,351733,-6878,17678,339004,3705,0,2146,0,0,0,0,0,0,346507,3503,0,1723,0,0,0,0,0,0,8144518,11491703,8144167,351,0,0,0,0,0,0,0,0,11491330,373,0,0,0,0,0,0,0,0,3168,3137,3068,40,0,60,0,0,0,0,0,0,3037,40,0,60,0,0,0,0,0,0,188924,12327,21718,23189,12683,193586,13021,23220,24076,12689,0,2426761,0,0,1062880,2469790,0,3364697,0,0,1271980,2469790,0,90,1462,0,90,0,90,1462,0,575
2002-05,299364,283209,16155,14011,294159,3096,0,2109,0,0,0,0,0,0,278855,2604,0,1750,0,0,0,0,0,0,8760961,12252470,8760611,350,0,0,0,0,0,0,0,0,12252434,36,0,0,0,0,0,0,0,0,3058,3036,2957,39,0,62,0,0,0,0,0,0,2935,39,0,62,0,0,0,0,0,0,184749,666,20387,21010,10804,175651,853,19492,20322,8650,0,2569028,0,0,955205,2606903,0,3849830,0,0,1226817,2606903,0,5,1469,0,85,0,6,1467,0,626
2002-04,311987,297598,14389,24257,306688,3198,0,2101,0,0,0,0,0,0,293913,2060,0,1625,0,0,0,0,0,0,7272257,10535484,7272192,65,0,0,0,0,0,0,0,0,10535196,288,0,0,0,0,0,0,0,0,2975,3035,2885,26,0,64,0,0,0,0,0,0,2947,26,0,62,0,0,0,0,0,0,192867,0,23101,23696,6338,179883,0,20242,20864,6800,0,2623142,0,0,590152,2426297,0,3839212,0,0,1138420,2426297,0,0,1446,0,60,0,0,1451,0,651
2002-03,368472,363159,5313,26134,363205,2919,0,2348,0,0,0,0,0,0,358624,2786,0,1749,0,0,0,0,0,0,8129611,10699870,8129365,246,0,0,0,0,0,0,0,0,10699739,131,0,0,0,0,0,0,0,0,3362,3335,3246,28,0,88,0,0,0,0,0,0,3224,28,0,83,0,0,0,0,0,0,213276,0,24908,29229,7431,209473,0,26046,29162,6798,0,2704015,0,0,936168,2547037,0,3952375,0,0,1222252,2547037,0,0,1521,0,62,0,0,1527,0,786
2002-02,281610,289016,-7406,33936,277425,2228,0,1957,0,0,0,0,0,0,284901,2153,0,1962,0,0,0,0,0,0,6661111,9294193,6660994,117,0,0,0,0,0,0,0,0,9294138,55,0,0,0,0,0,0,0,0,2922,2972,2815,24,0,83,0,0,0,0,0,0,2865,24,0,83,0,0,0,0,0,0,164968,0,21557,21746,4967,168642,0,21565,22357,5154,0,2480532,0,0,982689,1817218,0,3603388,0,0,1290479,1817218,0,0,1344,0,56,0,0,1343,0,714
2002-01,350651,316635,34016,32629,345753,2218,0,2680,0,0,0,0,0,0,312908,1267,0,2460,0,0,0,0,0,0,6053602,9137765,6053602,0,0,0,0,0,0,0,0,0,9137596,169,0,0,0,0,0,0,0,0,3344,3326,3217,26,0,101,0,0,0,0,0,0,3199,27,0,100,0,0,0,0,0,0,209655,0,25434,21720,6962,189561,0,22794,19937,5729,0,2182137,0,0,938919,1750473,0,3660774,0,0,1314910,1750473,0,0,1500,0,62,0,0,1501,0,826
2001-12,286197,335928,-49731,22316,283497,608,0,2092,0,0,0,0,0,0,331904,1547,0,2477,0,0,0,0,0,0,7455342,11280745,7425153,4167,26022,0,0,0,0,0,0,0,11225671,16778,38296,0,0,0,0,0,0,0,3349,3322,3193,32,35,89,0,0,0,0,0,0,3164,33,35,90,0,0,0,0,0,0,163680,0,19170,15345,5418,194349,0,23854,18300,6846,0,1754547,0,0,1195547,1765450,0,2575361,0,0,2095647,1765450,0,0,1393,0,60,0,0,1399,0,786
2001-11,253545,262752,-9207,34111,251006,75,0,2464,0,0,0,0,0,0,260586,0,0,2166,0,0,0,0,0,0,6491242,11352842,6460312,3818,27112,0,0,0,0,0,0,0,11292011,21633,39198,0,0,0,0,0,0,0,2881,2862,2730,22,40,89,0,0,0,0,0,0,2710,22,40,90,0,0,0,0,0,0,152887,0,16737,15399,3953,159907,0,18729,15784,4270,0,2053584,0,0,1313037,1570567,0,4102039,0,0,2426223,1570567,0,0,1261,0,46,0,0,1265,0,414
2001-10,182801,189919,-7118,35495,181139,0,0,1662,0,0,0,0,0,0,188382,0,0,1537,0,0,0,0,0,0,7058607,12483851,7025342,3883,29382,0,0,0,0,0,0,0,12421615,19346,42890,0,0,0,0,0,0,0,2482,2464,2326,23,46,87,0,0,0,0,0,0,2308,23,46,87,0,0,0,0,0,0,111351,0,11989,12574,0,118212,0,13432,12899,0,0,2237174,0,0,1412210,1569937,0,4250072,0,0,3336853,1569937,0,0,1057,0,0,0,0,1058,0,653
2001-09,173209,152430,20779,35662,169733,1488,0,1876,0,0,0,0,0,112,150376,742,0,1200,0,0,0,0,0,112,7374963,10023483,7356920,2147,15871,0,0,0,0,0,0,25,9989754,10900,22804,0,0,0,0,0,0,25,2379,2362,2229,33,29,86,0,0,0,0,0,2,2213,32,29,86,0,0,0,0,0,2,97111,0,11838,10367,0,87621,0,9422,9458,0,0,2138023,0,0,1298241,1616248,0,3255926,0,0,2204674,1616248,0,0,877,0,0,0,0,879,0,670
2001-08,336490,313641,22849,34500,330849,3029,0,2612,0,0,0,0,0,0,308983,2619,0,2039,0,0,0,0,0,0,8546768,12385373,8509858,4386,32524,0,0,0,0,0,0,0,12310856,24598,49919,0,0,0,0,0,0,0,3482,3450,3271,60,44,107,0,0,0,0,0,0,3241,60,44,105,0,0,0,0,0,0,185454,0,23977,20020,0,173923,0,22672,18131,0,0,2275578,0,0,1282734,2130909,0,3965012,0,0,1909784,2130909,0,0,1318,0,0,0,0,1315,0,875
2001-07,363849,379332,-15483,32113,357440,3164,0,3245,0,0,0,0,0,0,372419,4081,0,2832,0,0,0,0,0,0,6816471,11151856,6785142,11761,19568,0,0,0,0,0,0,0,11100575,14300,36981,0,0,0,0,0,0,0,3451,3458,3247,60,38,106,0,0,0,0,0,0,3254,58,39,107,0,0,0,0,0,0,192761,0,23636,23133,0,195261,0,26657,22900,0,0,1916986,0,0,855575,1873429,0,3518564,0,0,1797920,1873429,0,0,1281,0,0,0,0,1285,0,848
2001-06,341931,352476,-10545,38373,336401,2285,0,3245,0,0,0,0,0,0,346970,2674,0,2832,0,0,0,0,0,0,9053396,11748078,9022109,3449,27838,0,0,0,0,0,0,0,11691403,16143,40532,0,0,0,0,0,0,0,3665,3624,3444,53,62,106,0,0,0,0,0,0,3422,53,42,107,0,0,0,0,0,0,166135,0,18082,21264,0,170372,0,21187,21167,0,0,2150196,0,0,1766371,2619700,0,3806796,0,0,1773045,2619700,0,0,1212,0,0,0,0,1215,0,848
2001-05,319250,292849,26401,44323,314186,2168,0,2896,0,0,0,0,0,0,288626,1906,0,2317,0,0,0,0,0,0,9258257,12378006,9226881,2535,28841,0,0,0,0,0,0,0,12323508,18578,35920,0,0,0,0,0,0,0,3559,3533,3362,45,41,111,0,0,0,0,0,0,3335,44,40,114,0,0,0,0,0,0,171142,0,18933,18190,0,157742,0,18267,17363,0,0,2309590,0,0,1312165,3001341,0,4043855,0,0,1738390,3001341,0,0,1252,0,0,0,0,1250,0,887
2001-04,370373,354107,16266,50673,362268,5997,0,2108,0,0,0,0,0,0,347357,4848,0,1902,0,0,0,0,0,0,8934122,13038134,8904356,3458,26308,0,0,0,0,0,0,0,12997299,13096,27739,0,0,0,0,0,0,0,3745,3711,3503,100,36,106,0,0,0,0,0,0,3469,98,37,107,0,0,0,0,0,0,179767,0,23038,23287,0,174855,0,22764,21932,0,0,2092438,0,0,1259242,2516314,0,3696378,0,0,1721096,2516314,0,0,1265,0,0,0,0,1266,0,850
2001-03,384415,371300,13115,40127,377144,4870,0,2401,0,0,0,0,0,0,365400,4104,0,1796,0,0,0,0,0,0,11508032,13665268,11457772,5788,44472,0,0,0,0,0,0,0,13597883,22184,45201,0,0,0,0,0,0,0,3881,3824,3622,103,41,115,0,0,0,0,0,0,3565,103,41,115,0,0,0,0,0,0,190112,0,22806,22742,0,181924,0,22841,22121,0,0,2513850,0,0,1844387,3037186,0,4175060,0,0,2269959,3037186,0,0,1319,0,0,0,0,1323,0,831
2001-02,320441,329154,-8713,44107,314484,4007,0,1950,0,0,0,0,0,0,323385,4051,0,1718,0,0,0,0,0,0,7463080,9802499,7428150,3728,31202,0,0,0,0,0,0,0,9747955,18010,36534,0,0,0,0,0,0,0,3442,3410,3212,96,39,95,0,0,0,0,0,0,3175,96,40,98,0,0,0,0,0,1,164290,0,19515,19025,0,169529,0,21243,19097,0,0,2057251,0,0,0,2191787,0,3681596,0,0,0,2191787,0,0,1210,0,0,0,0,1216,0,728
2001-01,372016,348313,23703,46505,364116,5130,0,2770,0,0,0,0,0,0,341979,4261,0,2073,0,0,0,0,0,0,7102475,10789121,7067852,6331,28292,0,0,0,0,0,0,0,10740361,15362,33398,0,0,0,0,0,0,0,3642,3631,3390,96,43,113,0,0,0,0,0,0,3378,96,44,113,0,0,0,0,0,0,191670,0,22398,20368,0,182446,0,20890,19329,0,0,1941981,0,0,0,1984906,0,3854602,0,0,0,1984906,0,0,1301,0,0,0,0,1304,0,850
2000-12,336051,373987,-37936,51268,329403,4142,328,2178,0,0,0,0,0,0,366213,4950,359,2465,0,0,0,0,0,0,8878547,11557195,8843172,6842,28533,0,0,0,0,0,0,0,11510820,19132,27243,0,0,0,0,0,0,0,3600,3585,3365,70,55,110,0,0,0,0,0,0,3347,72,55,111,0,0,0,0,0,0,169124,0,18665,16973,0,189399,0,23598,18880,0,0,0,0,0,2073202,1924543,0,0,0,0,3018455,1924543,0,0,1213,0,0,0,0,1217,0,894
2000-11,326890,334713,-7823,50287,321189,2495,624,2582,0,0,0,0,0,0,328873,2831,707,2302,0,0,0,0,0,0,7311036,10940117,7273036,3939,34061,0,0,0,0,0,0,0,10885078,22270,32769,0,0,0,0,0,0,0,3368,3338,3128,49,82,109,0,0,0,0,0,0,3096,51,82,109,0,0,0,0,0,0,173491,0,19305,15705,0,179281,0,21055,16663,0,0,0,0,0,2102615,1918662,0,0,0,0,3262186,1918662,0,0,1157,0,0,0,0,1161,0,920
2000-10,247963,254914,-6951,50294,243108,1958,727,2170,0,0,0,0,0,0,250081,2041,813,1979,0,0,0,0,0,0,6688211,10208315,6645834,8241,34136,0,0,0,0,0,0,0,10146379,19275,42661,0,0,0,0,0,0,0,3102,3082,2882,52,84,84,0,0,0,0,0,0,2863,51,84,84,0,0,0,0,0,0,135292,0,14483,11790,0,141564,0,15537,13198,0,0,0,0,0,2210226,2286668,0,0,0,0,3275175,2286668,0,0,1020,0,0,0,0,1022,0,903
2000-09,225989,206372,19617,49951,220159,3072,702,2056,0,0,0,0,0,0,201610,2204,765,1793,0,0,0,0,0,0,7987683,9680209,7956946,5384,25353,0,0,0,0,0,0,0,9625065,20333,34811,0,0,0,0,0,0,0,2988,2943,2785,47,75,81,0,0,0,0,0,0,2739,48,74,82,0,0,0,0,0,0,125332,0,13274,9637,0,116057,0,11286,8626,0,0,0,0,0,2277288,2506899,0,0,0,0,3257920,2506899,0,0,1004,0,0,0,0,1006,0,875
2000-08,341753,321291,20462,43846,333628,4404,1011,2334,0,0,0,0,0,0,313317,4557,860,2048,0,0,0,0,0,0,8906334,10851568,8863734,5640,36960,0,0,0,0,0,0,0,10776993,26810,47765,0,0,0,0,0,0,0,3335,3316,3119,59,78,77,0,0,0,0,0,0,3099,58,79,77,0,0,0,0,0,1,177890,0,19819,14663,0,166659,0,19833,13969,0,0,0,0,0,2437927,2607628,0,0,0,0,3340012,2607628,0,0,1179,0,0,0,0,1184,0,847
2000-07,388712,397935,-9223,42491,380453,4820,925,2514,0,0,0,0,0,0,389098,5349,1089,2399,0,0,0,0,0,0,7866153,11314032,7844642,3000,18511,0,0,0,0,0,0,0,11268644,15412,29976,0,0,0,0,0,0,0,3556,3525,3342,56,75,83,0,0,0,0,0,0,3309,56,77,83,0,0,0,0,0,0,196996,0,21775,17150,0,202506,0,22973,17227,0,0,0,0,0,1202151,2267594,0,0,0,0,2609976,2267594,0,0,1233,0,0,0,0,1237,0,936
