disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
5034,2013-07-05T00:00:00.000Z,CARPENTER 1 FIRE,2013-07-04T00:00:00.000Z,2013-07-17T00:00:00.000Z,Fire Management,NV,Nevada                        ,Fire,2013-07-08T00:00:00.000Z,2017-07-07T00:00:00.000Z,2017-01-12T00:00:00.000Z,faed33856eb167c0679fe4f442c5d3af,2018-07-10T16:22:10.061Z
5038,2013-07-30T00:00:00.000Z,COLOCKUM TARPS FIRE ,2013-07-27T00:00:00.000Z,2013-08-14T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2013-07-31T00:00:00.000Z,2015-07-14T00:00:00.000Z,2015-07-08T00:00:00.000Z,f4b9a4c076e41ec50339ed57fd3c9b7f,2018-07-10T16:22:10.087Z
5041,2013-08-08T00:00:00.000Z,SILVER FIRE,2013-08-07T00:00:00.000Z,2013-08-13T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2013-08-08T00:00:00.000Z,2016-10-25T00:00:00.000Z,2016-10-20T00:00:00.000Z,e6a07cf798a778e0c84c942509d09e78,2018-07-10T16:22:10.094Z
5024,2013-05-02T00:00:00.000Z,SPRINGS FIRE,2013-05-02T00:00:00.000Z,2013-05-11T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2013-05-09T00:00:00.000Z,2015-05-19T00:00:00.000Z,2015-05-08T00:00:00.000Z,825ec224ef6c1e850e000020834139f2,2018-07-10T16:22:10.102Z
5035,2013-07-18T00:00:00.000Z,WEST MULLAN FIRE,2013-07-18T00:00:00.000Z,2013-07-24T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2013-07-22T00:00:00.000Z,2016-04-07T00:00:00.000Z,2016-04-04T00:00:00.000Z,3480a5cd965474b6145552347e26a43e,2018-07-10T16:22:10.110Z
5046,2013-08-18T00:00:00.000Z,GOVERNMENT FLATS FIRE COMPLEX,2013-08-17T00:00:00.000Z,2013-08-26T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2013-08-20T00:00:00.000Z,2013-11-12T00:00:00.000Z,,d7733bf4f68d861445b9bae0c21b0758,2018-07-10T16:22:10.085Z
5045,2013-08-15T00:00:00.000Z,BEAVER CREEK FIRE,2013-08-15T00:00:00.000Z,2013-08-30T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2013-08-20T00:00:00.000Z,2013-11-12T00:00:00.000Z,,8ece7c39264ba586bcc8093883da39c6,2018-07-10T16:22:10.093Z
5027,2013-06-11T00:00:00.000Z,BLACK FOREST FIRE,2013-06-11T00:00:00.000Z,2013-06-21T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2013-06-14T00:00:00.000Z,2018-01-11T00:00:00.000Z,2016-10-25T00:00:00.000Z,d9bd81af87023d89c351ba0312c40b60,2018-07-10T16:22:10.100Z
5039,2013-08-02T00:00:00.000Z,BRIMSTONE FIRE ,2013-07-28T00:00:00.000Z,2013-08-04T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2013-08-05T00:00:00.000Z,2013-11-12T00:00:00.000Z,,4ddef40227d61dfe212b634de7685e3b,2018-07-10T16:22:10.109Z
5032,2013-06-30T00:00:00.000Z,YARNELL HILL FIRE,2013-06-30T00:00:00.000Z,2013-07-07T00:00:00.000Z,Fire Management,AZ,Arizona                       ,Fire,2013-07-02T00:00:00.000Z,2015-12-01T00:00:00.000Z,2015-11-24T00:00:00.000Z,70d48c645c92d5b232775298e5d3ac49,2018-07-10T16:22:10.089Z
5037,2013-07-28T00:00:00.000Z,DOUGLAS FIRE COMPLEX,2013-07-27T00:00:00.000Z,2013-08-19T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2013-07-31T00:00:00.000Z,2013-11-12T00:00:00.000Z,,b6f244787bce1c0a32273ba1b890e4da,2018-07-10T16:22:10.096Z
5042,2013-08-10T00:00:00.000Z,MILE POST 10 FIRE,2013-08-10T00:00:00.000Z,2013-08-14T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2013-08-12T00:00:00.000Z,2015-07-14T00:00:00.000Z,2015-07-01T00:00:00.000Z,262499f4532f544b9f34b1a93e9aaf69,2018-07-10T16:22:10.104Z
5033,2013-07-02T00:00:00.000Z,DEAN PEAK FIRE,2013-07-01T00:00:00.000Z,2013-07-08T00:00:00.000Z,Fire Management,AZ,Arizona                       ,Fire,2013-07-08T00:00:00.000Z,2015-12-08T00:00:00.000Z,2015-12-03T00:00:00.000Z,50c3a43dc7fbfc8b1ca80d19bd4f7a26,2018-07-10T16:22:10.112Z
5031,2013-06-21T00:00:00.000Z,WEST FORK FIRE COMPLEX,2013-06-21T00:00:00.000Z,2013-07-12T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2013-06-28T00:00:00.000Z,2016-12-13T00:00:00.000Z,2016-11-17T00:00:00.000Z,4bbd7326e7052da8e0a97bf05916c57d,2018-07-10T16:22:10.090Z
5036,2013-07-19T00:00:00.000Z,PACIFICA FIRE,2013-07-19T00:00:00.000Z,2013-07-21T00:00:00.000Z,Fire Management,OR,Oregon                        ,Fire,2013-07-23T00:00:00.000Z,2013-11-12T00:00:00.000Z,,6a69f69bd881784384aec041acdaa75e,2018-07-10T16:22:10.098Z
5048,2013-08-21T00:00:00.000Z,EAGLE FIRE ,2013-08-20T00:00:00.000Z,2013-08-28T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2013-08-23T00:00:00.000Z,2015-12-02T00:00:00.000Z,2015-07-01T00:00:00.000Z,94df03b6cbaa58e7f6d6fa6c7daac565,2018-07-10T16:22:10.106Z
5025,2013-06-02T00:00:00.000Z,POWERHOUSE FIRE,2013-05-31T00:00:00.000Z,2013-06-08T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2013-06-04T00:00:00.000Z,2017-08-24T00:00:00.000Z,2015-05-08T00:00:00.000Z,6dc5c7fc532ed2c04048e8a509f9cd2f,2018-07-10T16:22:10.113Z
5028,2013-06-11T00:00:00.000Z,ROYAL GORGE FIRE,2013-06-11T00:00:00.000Z,2013-06-15T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2013-06-14T00:00:00.000Z,2016-10-25T00:00:00.000Z,2016-10-25T00:00:00.000Z,3c79ef73d85d77b296313d8327059768,2018-07-10T16:22:10.091Z
5030,2013-06-21T00:00:00.000Z,EAST PEAK FIRE ,2013-06-19T00:00:00.000Z,2013-06-30T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2013-06-28T00:00:00.000Z,2016-12-20T00:00:00.000Z,2016-10-25T00:00:00.000Z,1acb028d8b7cec375cc186e5d146fd1f,2018-07-10T16:22:10.099Z
5043,2013-08-13T00:00:00.000Z,ELK FIRE,2013-08-12T00:00:00.000Z,2013-08-29T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2013-08-14T00:00:00.000Z,2016-01-21T00:00:00.000Z,2016-01-19T00:00:00.000Z,a6b43d9594962ec101d07cfdb47f3cee,2018-07-10T16:22:10.107Z
5019,2012-09-18T00:00:00.000Z,KARNEY FIRE,2012-09-18T00:00:00.000Z,2012-09-27T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2012-09-26T00:00:00.000Z,2015-06-24T00:00:00.000Z,2015-06-15T00:00:00.000Z,e68faae5fa449a3ff4fd3bf45ef68995,2018-07-10T16:22:10.516Z
5001,2012-08-03T00:00:00.000Z,LUTHER FIRE,2012-08-03T00:00:00.000Z,2012-08-10T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,2012-08-16T00:00:00.000Z,2015-05-07T00:00:00.000Z,2015-04-28T00:00:00.000Z,434e7bd799c65e21fddb445dc6026cc7,2018-07-10T16:22:10.520Z
5009,2012-08-30T00:00:00.000Z,REGION 23 FIRE COMPLEX,2012-08-30T00:00:00.000Z,2012-09-10T00:00:00.000Z,Fire Management,NE,Nebraska                      ,Fire,2012-09-01T00:00:00.000Z,2015-08-13T00:00:00.000Z,2015-08-04T00:00:00.000Z,e7998b9a8f6f7ece524923d26425c77f,2018-07-10T16:22:10.518Z
5014,2012-09-09T00:00:00.000Z,SHEEP HERDER HILL FIRE COMPLEX,2012-09-09T00:00:00.000Z,2012-09-16T00:00:00.000Z,Fire Management,WY,Wyoming                       ,Fire,2012-09-12T00:00:00.000Z,2015-12-29T00:00:00.000Z,2015-12-16T00:00:00.000Z,08f9c948a4e18adae4db6fe7f921dfc2,2018-07-10T16:22:10.517Z
5006,2012-08-15T00:00:00.000Z,TRINITY RIDGE FIRE,2012-08-15T00:00:00.000Z,2012-09-05T00:00:00.000Z,Fire Management,ID,Idaho                         ,Fire,2012-08-20T00:00:00.000Z,2015-01-29T00:00:00.000Z,2015-01-28T00:00:00.000Z,089dab08a53126fb22fac2853a95ab86,2018-07-10T16:22:10.519Z
5018,2012-09-13T00:00:00.000Z,PEAVINE FIRE,2012-09-12T00:00:00.000Z,2012-10-09T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-17T00:00:00.000Z,2015-01-15T00:00:00.000Z,2015-01-13T00:00:00.000Z,effcae8f175639450711eea31f718515,2018-07-10T16:22:10.525Z
5013,2012-09-09T00:00:00.000Z,BARKER CANYON FIRE ,2012-09-09T00:00:00.000Z,2012-09-15T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-12T00:00:00.000Z,2014-12-05T00:00:00.000Z,2014-12-04T00:00:00.000Z,024c599c033db495d3255339b3f84ec5,2018-07-10T16:22:10.526Z
5005,2012-08-14T00:00:00.000Z,TAYLOR BRIDGE FIRE,2012-08-13T00:00:00.000Z,2012-08-28T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-08-20T00:00:00.000Z,2014-12-05T00:00:00.000Z,2014-12-02T00:00:00.000Z,b2da2810cdaf1e75fce1e2ae8320ad69,2018-07-10T16:22:10.527Z
5022,2012-10-23T00:00:00.000Z,WETMORE FIRE ,2012-10-23T00:00:00.000Z,2012-10-26T00:00:00.000Z,Fire Management,CO,Colorado                      ,Fire,2012-10-26T00:00:00.000Z,2017-04-06T00:00:00.000Z,2017-04-03T00:00:00.000Z,10106d6706c7bf41c151151e4433c887,2018-07-10T16:22:10.534Z
5007,2012-08-19T00:00:00.000Z,PONDEROSA FIRE,2012-08-18T00:00:00.000Z,2012-09-04T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2012-08-20T00:00:00.000Z,2014-01-06T00:00:00.000Z,2013-12-17T00:00:00.000Z,0d1900ce1dc35742156e3ef8d0916194,2018-07-10T16:22:10.538Z
5000,2012-08-03T00:00:00.000Z,FREEDOM FIRE,2012-08-03T00:00:00.000Z,2012-08-12T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,2012-08-16T00:00:00.000Z,2015-03-30T00:00:00.000Z,2015-03-25T00:00:00.000Z,59e87caf6ea45c6f1b897245d559a8d0,2018-07-10T16:22:10.538Z
5021,2012-09-24T00:00:00.000Z,SHOCKEY FIRE,2012-09-23T00:00:00.000Z,2012-09-27T00:00:00.000Z,Fire Management,CA,California                    ,Fire,2012-09-26T00:00:00.000Z,2014-04-07T00:00:00.000Z,2013-12-17T00:00:00.000Z,4c7a0bbfeb9739035d26f54b241cc151,2018-07-10T16:22:10.542Z
5017,2012-09-12T00:00:00.000Z,POISON FIRE,2012-09-12T00:00:00.000Z,2012-09-30T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-17T00:00:00.000Z,2015-01-15T00:00:00.000Z,2015-01-13T00:00:00.000Z,605c8297d2ec43b485f847c13de67b7f,2018-07-10T16:22:10.543Z
5010,2012-09-01T00:00:00.000Z,WELLNITZ FIRE,2012-08-31T00:00:00.000Z,2012-09-02T00:00:00.000Z,Fire Management,SD,South Dakota                  ,Fire,2012-09-04T00:00:00.000Z,2014-09-11T00:00:00.000Z,2014-09-09T00:00:00.000Z,5d2ff9a505dac382c8a7c535924199fb,2018-07-10T16:22:10.537Z
5020,2012-09-20T00:00:00.000Z,TABLE MOUNTAIN FIRE ,2012-09-19T00:00:00.000Z,2012-10-05T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-26T00:00:00.000Z,2015-01-15T00:00:00.000Z,2015-01-13T00:00:00.000Z,b7cff96b9e2b5d6362f966634925e776,2018-07-10T16:22:10.535Z
5008,2012-08-29T00:00:00.000Z,NINETEEN MILE FIRE,2012-08-28T00:00:00.000Z,2012-09-04T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2012-08-31T00:00:00.000Z,2018-03-06T00:00:00.000Z,2018-03-06T00:00:00.000Z,f892ec425a270fa0a0e52ec83050f676,2018-07-10T16:22:10.541Z
5016,2012-09-11T00:00:00.000Z,SAWTOOTH FIRE,2012-09-10T00:00:00.000Z,2012-09-16T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,2012-09-12T00:00:00.000Z,2015-11-19T00:00:00.000Z,2014-12-18T00:00:00.000Z,fa414c11b3d0adc02e90ca06e4fc2664,2018-07-10T16:22:10.539Z
5015,2012-09-10T00:00:00.000Z,BYRD CANYON FIRE,2012-09-10T00:00:00.000Z,2012-09-18T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-12T00:00:00.000Z,2015-01-15T00:00:00.000Z,2015-01-13T00:00:00.000Z,1b285430a812629106f8a56d85da20e6,2018-07-10T16:22:10.536Z
5012,2012-09-09T00:00:00.000Z,1ST CANYON FIRE,2012-09-09T00:00:00.000Z,2012-09-18T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-12T00:00:00.000Z,2014-12-05T00:00:00.000Z,2014-12-04T00:00:00.000Z,8b6ddf80142f84d7ccbc1d4779bd2c39,2018-07-10T16:22:10.543Z
5011,2012-09-06T00:00:00.000Z,HIGHWAY 141 FIRE COMPLEX,2012-09-05T00:00:00.000Z,2012-09-11T00:00:00.000Z,Fire Management,WA,Washington                    ,Fire,2012-09-12T00:00:00.000Z,2014-12-05T00:00:00.000Z,2014-12-02T00:00:00.000Z,0c35420419986f666fd6d9d426f23cd3,2018-07-10T16:22:10.540Z
