,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
World Population Prospects: The 2017 Revision,,,,,,,,,,,,,,,,,
"File MORT/1-1: Infant mortality rate (both sexes combined) by region, subregion and country, 1950-2100 (infant deaths per 1,000 live births)",,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2015",,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2017/MORT/F01-1,,,,,,,,,,,,,,,,,
June 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,"Infant mortality rate, 1q0, for both sexes combined (infant deaths per 1,000 live births)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
39,Estimates,Chad,,148,   186,   177,   169,   160,   146,   138,   130,   123,   119,   114,   111,   105,   91
40,Estimates,Congo,,178,   142,   123,   107,   97,   90,   84,   79,   77,   79,   85,   81,   61,   47
41,Estimates,Democratic Republic of the Congo,,180,   167,   158,   151,   143,   134,   129,   121,   116,   110,   113,   100,   84,   73
42,Estimates,Equatorial Guinea,,226,   196,   186,   176,   167,   158,   149,   130,   121,   111,   99,   90,   80,   70
43,Estimates,Gabon,,266,   179,   167,   158,   134,   114,   95,   78,   63,   60,   59,   58,   49,   41
44,Estimates,Sao Tome and Principe,,678,   124,   112,   99,   88,   76,   65,   64,   61,   58,   55,   52,   46,   44
45,Estimates,Northern Africa,,912,   201,   175,   158,   144,   134,   112,   90,   69,   59,   46,   39,   33,   28
46,Estimates,Algeria,,12,   163,   154,   143,   132,   122,   105,   75,   55,   48,   42,   37,   33,   28
47,Estimates,Egypt,,818,   249,   205,   184,   170,   165,   133,   107,   74,   60,   37,   29,   23,   19
48,Estimates,Libya,,434,   254,   230,   166,   121,   90,   67,   51,   41,   33,   30,   27,   24,   24
49,Estimates,Morocco,,504,   151,   143,   133,   123,   113,   102,   84,   67,   53,   44,   37,   33,   28
50,Estimates,Sudan,,729,   135,   122,   111,   102,   93,   89,   87,   84,   80,   70,   62,   54,   49
51,Estimates,Tunisia,,788,   232,   218,   195,   173,   140,   97,   66,   49,   35,   29,   23,   19,   18
52,Estimates,Western Sahara,,732,   217,   201,   187,   173,   160,   134,   110,   88,   76,   64,   53,   43,   34
53,Estimates,Southern Africa,,913,   134,   118,   108,   99,   86,   74,   64,   55,   52,   58,   62,   54,   38
54,Estimates,Botswana,,72,   135,   124,   113,   104,   90,   75,   64,   59,   62,   73,   65,   46,   35
55,Estimates,Lesotho,,426,   169,   150,   134,   130,   123,   110,   94,   84,   71,   81,   87,   74,   60
56,Estimates,Namibia,,516,   172,   149,   130,   115,   101,   86,   78,   68,   61,   60,   59,   47,   36
57,Estimates,South Africa,,710,   130,   114,   105,   96,   83,   71,   61,   52,   49,   56,   60,   53,   37
58,Estimates,Swaziland,,748,   174,   160,   150,   141,   124,   108,   90,   73,   71,   81,   87,   76,   56
59,Estimates,Western Africa,3,914,   200,   186,   172,   159,   146,   132,   123,   120,   116,   108,   96,   83,   70
60,Estimates,Benin,,204,   209,   192,   177,   163,   151,   135,   124,   114,   102,   93,   84,   75,   68
61,Estimates,Burkina Faso,,854,   228,   209,   192,   172,   153,   133,   119,   110,   104,   99,   90,   78,   65
62,Estimates,Cabo Verde,,132,   132,   128,   125,   108,   94,   69,   61,   53,   46,   37,   25,   23,   22
63,Estimates,Côte d'Ivoire,,384,   268,   237,   200,   169,   144,   125,   113,   107,   103,   99,   92,   85,   72
64,Estimates,Gambia,,270,   156,   150,   144,   127,   113,   101,   90,   82,   76,   67,   59,   52,   50
65,Estimates,Ghana,,288,   147,   134,   122,   113,   106,   99,   93,   83,   73,   67,   61,   55,   46
66,Estimates,Guinea,,324,   207,   200,   195,   192,   185,   171,   156,   142,   128,   112,   95,   78,   66
67,Estimates,Guinea-Bissau,,624,   180,   174,   168,   159,   152,   143,   135,   128,   121,   109,   101,   91,   80
68,Estimates,Liberia,,430,   224,   218,   212,   195,   177,   164,   154,   158,   154,   129,   97,   72,   59
69,Estimates,Mali,,466,   242,   224,   207,   192,   176,   163,   151,   139,   127,   121,   107,   89,   79
70,Estimates,Mauritania,,478,   148,   135,   123,   114,   106,   99,   89,   83,   80,   76,   76,   72,   68
71,Estimates,Niger,,562,   162,   160,   158,   156,   151,   139,   133,   139,   130,   103,   88,   75,   66
72,Estimates,Nigeria,,566,   200,   186,   173,   159,   147,   134,   125,   126,   126,   119,   104,   90,   76
73,Estimates,Senegal,,686,   128,   123,   118,   113,   108,   97,   85,   75,   72,   68,   61,   51,   44
74,Estimates,Sierra Leone,,694,   236,   228,   221,   210,   181,   162,   151,   151,   160,   149,   135,   117,   94
75,Estimates,Togo,,768,   186,   164,   145,   128,   113,   101,   92,   87,   83,   80,   77,   63,   56
76,Estimates,ASIA,,935,   157,   147,   138,   114,   101,   90,   78,   67,   62,   55,   46,   37,   31
